name,description,formula,N,P,K,S
basic slag,,,,,,
bone meal,,,,,,
CAN,calcium ammonium nitrate,CA-NH4NO3,,,,
DAP,,,,,,
DAS,ammonium sulfate,,,,,
ERP,Ethiopian rock phosphate,,,,,
GRP,Gafsa rock Phosphate,,,,,
KCl,,,,,,
KNO,potassium nitrate,KNO3,,,,
lime,,,,,,
SOP,potassium sulfate,K2SO4,,,,
SSP,single superphosphate,,,,,
TSP,triple superphosphate,,,,,
urea,,,,,,
ZSO,zinc sulfate,ZnSO?,,,,
NSP,Normal superphosphate (= single superphosphate SSP),,,,,
none,,,,,,
gypsum,,,,,,
S compound,,,8,21,7,4
D compound,,,10,20,10,
sympal,,,0,23,15,4
Compound fertilizer,,,23,21,,4
PKS,,,,,,
unknown,,,,,,
