name,description,N,P,K
alfalfa meal,Alfalfa Meal,,,
bagasse,Bagasse,,,
biochar,Biochar,,,
guano,Bird guano,,,
blood meal,Blood meal,,,
bone meal,Bone meal,,,
compost,Compost,,,
cottonseed meal,CottonSeed Meal,,,
dairy manure,Dairy manure,,,
greensand,Greensand,,,
farmyard manure,Farmyard manure,,,
fish blood and bone,Fish blood and bone,,,
fish fertilizer,Fish fertilizer,,,
horse manure,Horse manure,,,
liquid manure,Liquid manure,,,
milorganite,Milorganite,,,
poultry manure,Poultry manure,,,
oil cake,Oil cake,,,
sawdust,Sawdust,,,
soy meal,Soy Meal,,,
treated sewage sludge,Treated sewage sludge,,,
vermicompost,Vermicompost,,,
worm castings,Worm castings,,,
biofertilizer,Biofertilizer,,,
arbuscular mycorrhizal fungi,Arbuscular mycorrhizal fungi,,,
rhizobium japonicum,Rhizobium japonicum,,,
rhizobium leguminosarum,Rhizobium leguminosarum,,,
rhizobium loti,Rhizobium loti,,,
rhizobium meliloti,Rhizobium meliloti,,,
rhizobium,Rhizobium,,,
rhizobium trifolii,Rhizobium trifolii,,,
green manure,Green manure,,,
alfalfa,Alfalfa,,,
azolla,Azolla,,,
grass,Grass,,,
buckwheat,Buckwheat,,,
chickpea,Chickpea,,,
clover,Clover,,,
cowpea,Cowpea,,,
fava beans,Fava beans,,,
fenugreek,Fenugreek,,,
groundnut,Groundnut,,,
lablab,Lablab,,,
lupine,Lupine,,,
millet,Millet,,,
mucuna,Mucuna,,,
mustard,Mustard,,,
peanut,Peanut,,,
pearl millet,Pearl millet,,,
pigeon pea,Pigeon pea,,,
phacelia tanacetifolia,Phacelia tanacetifolia,,,
radish,Radish,,,
sesbania,Sesbania,,,
sorghum,Sorghum,,,
soybean,Soybean,,,
sudangrass,Sudangrass,,,
sunn hemp,Sunn hemp,,,
tyfon,Tyfon,,,
velvet bean,Velvet bean,,,
vetch,Vetch,,,
other,Other,,,
