name,unit,description,vocabulary,notes
site,,name of the site of the experiment,,
field,,field identifier,,
treatment,,description of the treatment,,
crop,,crop name ,link to accepted crop names,
country,,,,
experiment_type,,,fertilizer;agroforestry;,
latitude,,latitude in decimal notation,,
longitude,,longitude in decimal notation,,
biomass_roots,,,,
yield,kg/ha,dry-weight biomass of the main harvestable parts at maturity,,"if necessary computed from fresh weight. If necessary, assume standard moisture content. See Table 1"
N_fertilizer,kg/ha,N fertilizer applied,,
P_fertilizer,kg/ha,"P fertilizer applied (as P, not P2O5)",,
K_fertilizer,kg/ha,"K fertilizer applied (as K, not K2O)",,
on_farm,T/F,,,
is_survey,T/F,,,
