name,type,unit,required,vocabulary,multiple_allowed,valid_min,valid_max,NAok,description,notes,obo
powdery_mildew,numeric,,no,,,,,,,,
stem_rust,numeric,,no,,,,,,,,
leaf_rust,numeric,,no,,,,,,,,
sterility_index,numeric,,no,,,,,,,,
fusarium_scab_spike,numeric,,no,,,,,,,,
helminthosporium_sativum_leaf,numeric,,no,,,,,,,,
septoria_tritici_blotch,numeric,,no,,,,,,,,
septoria_species,numeric,,no,,,,,,,,
blast_severity,numeric,,no,,,,,,,,
blast_intensity,numeric,,no,,,,,,,,
stripe_rust_on_leaf,numeric,,no,,,,,,,,
H_tritici_repentis,numeric,,no,,,,,,,,
bird_damage,character,,no,,,,,,,,
hail_damage,character,,no,,,,,,,,
herbicide_damage,character,,no,,,,,,,,
soil_aluminium_toxicity,logical,,no,,,,,,,,
fusarium_graminearum,numeric,%,no,,,0,100,,,,
